name,description,effect,slot,stamina_cost,bonus,group,location,dlc
Shard Spiral,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires twin projectiles that form a spiral as they travel. This sorcery can be cast repeatedly and while in motion. Charging enhances potency. A sorcery of the Karolos Conspectus, the most venerable of the academy. This was the product of a failed attempt to create a new comet. NOTE: This was changed with Patch 1.07 as follows: The Attack Power was Increased.",Fire twin spiraling projectiles,1,28,Glintstone,Damage,"Available for purchase from the Sorcery Instruction of Sorceress Sellen for 8,000 Runes after progressing through her questline and choosing to side with her.",0
Shatter Earth,"One of the glintstone sorceries of the Academy of Raya Lucaria.Imbues the ferrule of the caster's staff with magic, then thrusts it into the ground to create a magical shockwave.Allows one follow-up attack.A Stonedigger sorcery used by the glintstone miners of the crystal tunnel. At the academy, use of this sorcery was a stigma that marked out failed scholars. Note:",Thrust staff into ground to emit a shockwave,1,22,Glintstone (Stonedigger),Damage,"Found on a corpse in the second-to-last level of the Raya Lucaria Crystal Tunnel, inside an opening in the north. [Map Link]",0
Shattering Crystal,"Sorcery of the mysterious Crystalians.Creates a mass of crystal, then shatters it in a forward burst.Charging enhances potency.The Crystalians are inorganic beings, yet they live. They cleave close to the ideals of the primeval current, and as such, they are revered guests of the sorcerers.",Creates crystal mass that shatters in forward burst,1,30,Crystalian,Damage,"Looted off a corpse on the second floor, west side, of the Church of the Cuckoo in Raya Lucaria Academy. The only way to reach this is going through the broken glass window of the church via the rooftops. [Map Coordinates]",0
Star Shower,One of the glintstone sorceries of the Academy of Raya Lucaria.Fires six magic shooting stars that pursue the target.This sorcery can be cast while in motion. Charging enhances potency.The most difficult to master of the Olivinus Conspectus sorceries.,Fires six shooting stars that pursue foes,1,26,Glintstone,Damage,"Can be purchased for 10,000 Runes after you deliver the Conspectus Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis.",0
Starlight,"One of the glintstone sorceries of the Academy of Raya Lucaria. Creates a small, floating star light that illuminates surroundings. This sorcery can be cast while in motion. Granted to sorcerers who depart from the academy to embark on journeys. Even during the blackest nights, sojourns underground, or imprisonment in gaol, the stars are never far from a sorcerer's side. Note:",Creates star light to illuminate surroundings,1,5,Glintstone,Utility,Starlight can be learned from Thops at the Church of Irith.,0
Stars of Ruin,"Legendary sorcery devised by Lusat, primeval sorcerers. Fires twelve dark shooting stars that pursue the target. This sorcery can be cast while in motion. Charging increases potency. When Lusat glimpsed into the primeval current, he beheld the final moments of a great star cluster, and upon seeing it, he too was broken.",Fire twelve dark shooting stars that pursue foes,1,29,Primeval Sorceries,Damage,Given by Primeval Sorcerer Lusat in Sellia Hideaway. You must follow Sorceress Sellen questline to unlock this NPC.,0
Swift Glintstone Shard,"One of the glintstone sorceries of the Academy of Raya Lucaria.The glintstone serves as a conduit, launching swift magical projectiles at foes.This sorcery can be used without delay after performing another action.Those unworthy of the stone crown typically end their brief journey into sorcery here.",Swiftly fires magic projectiles from glintstone,1,9,Glintstone,Damage,"Can be purchased for 600 Runes after you deliver the Academy Scroll to Miriel Pastor of Vows, Sorceress Sellen, or Preceptor Seluvis.",0
Terra Magica,"One of the glintstone sorceries of the Academy of Raya Lucaria. Draws an academy sigil upon the ground, raising the magic strength of those within. Once, the sigil would be cast from the highest belfry of the academy, covering the entire institution's grounds. This spell allows such vivid experience of spellcasting success, it turns many a fledgling into a true sorcerer in a flash of newfound understanding. Note:",Raises the magic strength of those within the sigil,1,12,Glintstone,Buff,"Take the elevator behind the Crystalians and climb the stairs, to find it inside a chest.",0
Thops's Barrier,"This is the page for the sorcery: Thop's Barrier. Click here for the Ash of War: Thops's Barrier. The lifelong pursuit of Thops the Bluntstone. Creates a magic forcefield that deflects sorceries and incantations.Hold to continuously create barriers. Future generations will learn. They will know the foolishness ofthe sneering sorcerers who ridiculed this theory, little realizingthat it was in fact a discovery worthy of a new conspectus of the academy.",Erect a magic forcefield to deflect spells,1,10,Glintstone,Defence,"Looted from Thops's body.You must give him the Academy Glintstone Key first.Once he has it, fast travel to the Schoolhouse Classroom site of grace of Raya Lucaria Academy, you'll find him dead outside the room. Go outside and turn right, you'll find him, sitting in a chair. Map Link.",0
Tibia's Summons,Sorcery of the servants of Death.Summons a group of Those Lost in Death.Three skeletons will appear some distance from the caster and attack foes before disappearing.The dead have long been left to wander; what they need is leadership. Note:,Summons Those Who Live in Death,1,27,Death,Damage,Drops from Tibia Mariner located in Wyndham Ruins. Map Link,0
Unseen Blade,"One of the night sorceries of Sellia, Town of Sorcery. Enchants armament held in right hand, making it completely invisible.This sorcery can be cast while in motion. Used by Sellian assassins to present themselves as unarmed sorcerers. NOTE:",Makes right-hand armament completely invisible,1,10,Night,Buff,This sorcery can be found at the top of the Tower after completing the Mirage Rise puzzle.,0
Unseen Form,"One of the night sorceries of Sellia, Town of Sorcery. Makes the caster semi-invisible. While on horseback, effect extends to cover the mount. This sorcery can be cast while in motion.The Sellian assassins considered every option that aided their dirty work.",Makes the caster semi-invisible,1,10,Night,Utility,This sorcery can be found at the top of the Tower after completing the Mirage Rise puzzle.,0
Zamor Ice Storm,"Ice sorcery of the Town of Zamor. Strike the ground with the staff to create a freezing tornado. Charging enhances potency. Cloaked in icy tempests, the knights of Zamor have challenged the Fire Giants since ancient times.",Thrust staff into ground to create freezing tornado,1,27,Cold,Damage,Found in Zamor Ruins,0
